trait,umbrella,agreement,flag,claude,gpt5,gemini,deepseek,grok
separate tumor nodules in same lobe,Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
serum albumin,Body Weight and Nutritional Status,4/5,🟢,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Hepatic Function,Body Weight and Nutritional Status,Body Weight and Nutritional Status
serum bilirubin,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
serum creatinine,Renal Function,5/5,🟢,Renal Function,Renal Function,Renal Function,Renal Function,Renal Function
serum total bilirubin,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
severe cardiac disease,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
severe infection,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
severe infections,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
sex,Sex,5/5,🟢,Sex,Sex,Sex,Sex,Sex
small cell histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
small cell lung cancer,Tumor Histology,4/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Diagnosis Confirmation,Tumor Histology
smoking status,Smoking Status,5/5,🟢,Smoking Status,Smoking Status,Smoking Status,Smoking Status,Smoking Status
spinal cord compression,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
stage,Disease Stage,5/5,🟢,Disease Stage,Disease Stage,Disease Stage,Disease Stage,Disease Stage
stage iiib upstaging,Disease Stage,5/5,🟢,Disease Stage,Disease Stage,Disease Stage,Disease Stage,Disease Stage
staging system,Disease Stage,5/5,🟢,Disease Stage,Disease Stage,Disease Stage,Disease Stage,Disease Stage
steroid use,Corticosteroid Use,5/5,🟢,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use
study compliance willingness,Study Compliance,5/5,🟢,Study Compliance,Study Compliance,Study Compliance,Study Compliance,Study Compliance
surgery recovery,Prior Surgery,4/5,🟢,Prior Surgery,Wound Healing,Prior Surgery,Prior Surgery,Prior Surgery
surgical candidacy,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
surgical candidate,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
surgical eligibility,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
surgical margins,Surgical Resectability/Status,4/5,🟢,Surgical Resectability/Status,Residual Disease,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
surgical resectability/inoperability/refusal,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
systemic corticosteroids,Corticosteroid Use,5/5,🟢,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use
systemic disease,Metastatic Disease Status,5/5,🟢,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status,Metastatic Disease Status
systemic infection,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
tace eligibility,Locoregional Therapy Eligibility,5/5,🟢,Locoregional Therapy Eligibility,Locoregional Therapy Eligibility,Locoregional Therapy Eligibility,Locoregional Therapy Eligibility,Locoregional Therapy Eligibility
tki treatment,Prior Targeted Therapy,5/5,🟢,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy
tnm staging iiib/iiic/iv,Disease Stage,5/5,🟢,Disease Stage,Disease Stage,Disease Stage,Disease Stage,Disease Stage
target lesion,Measurable Disease,5/5,🟢,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease
thyroid function,Thyroid Function,5/5,🟢,Thyroid Function,Thyroid Function,Thyroid Function,Thyroid Function,Thyroid Function
time from progression to randomization,Treatment Timing,5/5,🟢,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing
toxicity,Treatment-Related Toxicity,5/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity
toxicity from prior therapy,Treatment-Related Toxicity,5/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity
toxicity recovery,Treatment-Related Toxicity,4/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Washout Period,Treatment-Related Toxicity
treatment start feasibility,Treatment Timing,4/5,🟢,Treatment Timing,Treatment Timing,Treatment Amenability,Treatment Timing,Treatment Timing
tuberculosis,Tuberculosis,5/5,🟢,Tuberculosis,Tuberculosis,Tuberculosis,Tuberculosis,Tuberculosis
tumor sample,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
tumor tissue,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
tumor tissue and blood samples,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
tumor tissue provision,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
tumor tissue sample,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
uncontrolled illness,Intercurrent Illness,5/5,🟢,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness
uncontrolled intercurrent illness,Intercurrent Illness,5/5,🟢,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness
unresectable/metastatic disease,Advanced/Refractory Disease,2/5,🔴,Advanced/Refractory Disease,Metastatic Disease Status,Advanced/Refractory Disease,Metastatic Disease Status,Surgical Resectability/Status
vascular aneurysms,Vascular Conditions,5/5,🟢,Vascular Conditions,Vascular Conditions,Vascular Conditions,Vascular Conditions,Vascular Conditions
venous thrombotic events,Thrombotic Events,5/5,🟢,Thrombotic Events,Thrombotic Events,Thrombotic Events,Thrombotic Events,Thrombotic Events
viral hepatitis status,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
viral load,Hepatitis B/C Status,2/5,🔴,Hepatitis B/C Status,Active Infection,Active Infection,Hepatitis B/C Status,HIV Status
who performance status,Performance Status,5/5,🟢,Performance Status,Performance Status,Performance Status,Performance Status,Performance Status
wedge resection,Surgical Resectability/Status,3/5,🟡,Surgical Resectability/Status,Prior Surgery,Prior Surgery,Surgical Resectability/Status,Surgical Resectability/Status
weight loss,Body Weight and Nutritional Status,5/5,🟢,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Body Weight and Nutritional Status
whole blood transfusion,Transfusion Requirements,5/5,🟢,Transfusion Requirements,Transfusion Requirements,Transfusion Requirements,Transfusion Requirements,Transfusion Requirements
wound healing,Wound Healing,5/5,🟢,Wound Healing,Wound Healing,Wound Healing,Wound Healing,Wound Healing
actionable driver oncogenes,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
actionable genomic alterations,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
actionable molecular alterations,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
active second malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
adhesive allergy,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
adjuvant chemotherapy,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
adjuvant neoadjuvant timing,Treatment Timing,3/5,🟡,Adjuvant/Neoadjuvant Therapy,Treatment Timing,Treatment Timing,Treatment Timing,Adjuvant/Neoadjuvant Therapy
adjuvant progression timing,Disease Progression,3/5,🟡,Adjuvant/Neoadjuvant Therapy,Disease Progression,Treatment Timing,Disease Progression,Disease Progression
adjuvant radiotherapy,Adjuvant/Neoadjuvant Therapy,3/5,🟡,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Prior Radiotherapy,Prior Radiotherapy
adjuvant therapy,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
alkaline phosphatase,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
anc,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
arrhythmia history,Cardiac Function,4/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,ECG Abnormalities
ast alt,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
autoimmune inflammatory disorder,Autoimmune Disease,5/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
biosample provision,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
blood pressure,Blood Pressure/Hypertension,5/5,🟢,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension
bone marrow function,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
cardiac history,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
cardiovascular cerebrovascular condition,Cardiac Function,3/5,🟡,Cardiac Function,Vascular Conditions,Cardiac Function,Cardiac Function,Vascular Conditions
cardiovascular history,Cardiac Function,4/5,🟢,Cardiac Function,Vascular Conditions,Cardiac Function,Cardiac Function,Cardiac Function
cardiovascular impairment,Cardiac Function,4/5,🟢,Cardiac Function,Vascular Conditions,Cardiac Function,Cardiac Function,Cardiac Function
cerebrovascular accident,Vascular Conditions,5/5,🟢,Vascular Conditions,Vascular Conditions,Vascular Conditions,Vascular Conditions,Vascular Conditions
chemotherapy recovery,Treatment-Related Toxicity,4/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Washout Period,Treatment-Related Toxicity
chronic steroid use,Corticosteroid Use,5/5,🟢,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use
clinical study participation,Investigational Study Participation,5/5,🟢,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation
cns lesions,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
compliance,Study Compliance,5/5,🟢,Study Compliance,Study Compliance,Study Compliance,Study Compliance,Study Compliance
concurrent anticancer therapy,Concurrent Anti-Cancer Therapy,5/5,🟢,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy
concurrent experimental therapy,Investigational Study Participation,3/5,🟡,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy
concurrent investigational therapy,Investigational Study Participation,3/5,🟡,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy
corneal disease,Corneal Disease,5/5,🟢,Corneal Disease,Corneal Disease,Corneal Disease,Corneal Disease,Corneal Disease
ct scan,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
curative intent therapy,Treatment Amenability,5/5,🟢,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability
current pulmonary conditions,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
device operation,Implantable Devices,5/5,🟢,Implantable Devices,Implantable Devices,Implantable Devices,Implantable Devices,Implantable Devices
disease burden,Measurable Disease,4/5,🟢,Measurable Disease,Measurable Disease,Disease Stage,Measurable Disease,Measurable Disease
disease response,Disease Progression,4/5,🟢,Disease Progression,Disease Progression,Disease Progression,Investigator Assessment,Disease Progression
dlco,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
docetaxel contraindication,Treatment Contraindications,5/5,🟢,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications
drug allergy,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
early stage relapse,Disease Recurrence,5/5,🟢,Disease Recurrence,Disease Recurrence,Disease Recurrence,Disease Recurrence,Disease Recurrence
egfr alk braf ros1 mutation,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
egfr alk mutation,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
egfr alk ros1,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
egfr alk ros1 testing,Actionable Genomic Alterations,4/5,🟢,Genetic/Germline Testing,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
egfr alk status,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
egfr ros1 alk,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
enrollment timing,Treatment Timing,5/5,🟢,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing
fdg pet ct,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
female contraception,Contraception Requirements,5/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements
fistula,Wound Healing,3/5,🟡,Gastrointestinal Function,Wound Healing,Wound Healing,Wound Healing,Gastrointestinal Function
follow up accessibility,Study Compliance,4/5,🟢,Study Compliance,Study Compliance,Study Compliance,Study Compliance,Residency/Demographics
gi abnormalities,Gastrointestinal Function,5/5,🟢,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function
gi absorption condition,Gastrointestinal Function,5/5,🟢,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function
gi disease,Gastrointestinal Function,5/5,🟢,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function
hbv hcv infection,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
hematological dysfunction,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
hemoptysis,Bleeding/Coagulation Disorders,4/5,🟢,Bleeding/Coagulation Disorders,Pulmonary Function,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders
hepatic dysfunction,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
hepatitis b c,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
high dose steroid,Corticosteroid Use,5/5,🟢,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use
hypertension,Blood Pressure/Hypertension,5/5,🟢,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension
ibd gi perforation,Gastrointestinal Function,3/5,🟡,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Autoimmune Disease,Autoimmune Disease
ild history,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
ild pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
ild pneumonitis history,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
immunodeficiency,Immunosuppression/Immunodeficiency,5/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
immunodeficiency immunosuppression,Immunosuppression/Immunodeficiency,5/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
immunodeficiency transplant immunosuppression,Immunosuppression/Immunodeficiency,4/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Transplant History,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
immunosuppressive drugs,Immunosuppression/Immunodeficiency,4/5,🟢,Immunosuppression/Immunodeficiency,Corticosteroid Use,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
immunotherapy contraindication,Treatment Contraindications,5/5,🟢,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications,Treatment Contraindications
immunotherapy hypersensitivity,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
implantable devices,Implantable Devices,5/5,🟢,Implantable Devices,Implantable Devices,Implantable Devices,Implantable Devices,Implantable Devices
infection status,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
institutionalization,Study Compliance,2/5,🔴,Study Compliance,Study Compliance,Neurological/Psychiatric Conditions,Residency/Demographics,Residency/Demographics
intercurrent illness,Intercurrent Illness,5/5,🟢,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness
interference condition,Intercurrent Illness,4/5,🟢,Intercurrent Illness,Study Compliance,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness
ip hypersensitivity,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
leptomeningeal cns disease,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
leptomeningeal disease,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
live virus vaccination,Live Vaccination,5/5,🟢,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination
lvef,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
major surgery recovery,Prior Surgery,4/5,🟢,Prior Surgery,Wound Healing,Prior Surgery,Prior Surgery,Prior Surgery
mds aml history,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
measurable lesion,Measurable Disease,5/5,🟢,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease,Measurable Disease
medical psychiatric risk,Neurological/Psychiatric Conditions,4/5,🟢,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Intercurrent Illness,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions
metastatic progression timing,Disease Progression,4/5,🟢,Disease Progression,Disease Progression,Treatment Timing,Disease Progression,Disease Progression
minor surgery,Prior Surgery,5/5,🟢,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery
molecular alterations,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
molecular status,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
mrd eligibility,MRD Status,5/5,🟢,MRD Status,MRD Status,MRD Status,MRD Status,MRD Status
neo adjuvant chemotherapy,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
other actionable alterations,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
other malignancy history,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
palliative radiotherapy,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
pd l1 expression,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd l1 status,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pd l1 tps,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
pembrolizumab monotherapy,Prior Immunotherapy/Checkpoint Inhibitors,4/5,🟢,Specific Prior Treatment Agents,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
pericarditis history,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
peripheral neuropathy,Neurological/Psychiatric Conditions,3/5,🟡,Treatment-Related Toxicity,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Treatment-Related Toxicity
persistent disease,Residual Disease,5/5,🟢,Residual Disease,Residual Disease,Residual Disease,Residual Disease,Residual Disease
pet mri brain,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
physician assigned therapy,Investigator Assessment,4/5,🟢,Investigator Assessment,Investigator Assessment,Treatment Amenability,Investigator Assessment,Investigator Assessment
planned surgery,Prior Surgery,3/5,🟡,Prior Surgery,Prior Surgery,Prior Surgery,Surgical Resectability/Status,Surgical Resectability/Status
platinum cycles,Prior Chemotherapy,5/5,🟢,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
pneumonitis ild,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
post platinum therapy,Prior Chemotherapy,4/5,🟢,Prior Chemotherapy,Prior Systemic Therapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
post treatment imaging,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
pregnancy breastfeeding,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
pregnancy intent,Contraception Requirements,3/5,🟡,Pregnancy/Lactation Status,Contraception Requirements,Pregnancy/Lactation Status,Contraception Requirements,Contraception Requirements
pregnancy lactation,Pregnancy/Lactation Status,5/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status
